concept_id,concept_name,standard_concept,sourceCode
1714277,voriconazole,S,Voriconazole
35606695,isavuconazole,S,Isovuconazole
19018013,micafungin,S,Micafungin
19026450,anidulafungin,S,Andiulafungin
1754994,fluconazole,S,Fluconazole
