sourceCode,concept_id
Body Surface Area (BSA) - Combination of weight and height ,4201235 
Body Surface Area (BSA) - Combination of weight and height ,8617 
Cardiac surgeries (Interventions) ,4275564 
Extracardiac anomalies - diagnoses ,0 
Height ,607590 
Height ,8582 
Weight ,3025315 
Weight ,9529 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
